task,model,source,lang,lpr,wpr
crosslingual,command-r-base,all,tr,0.0,
crosslingual,command-r-base,all,vi,0.0,
crosslingual,command-r-base,all,zh,0.03,1.0
crosslingual,command-r-base,all,all,0.0066,0.97
monolingual,command-r-base,aya_human_annotated,ar,0.94,0.99
monolingual,command-r-base,aya_human_annotated,en,0.98,
monolingual,command-r-base,aya_human_annotated,pt,0.93,
monolingual,command-r-base,aya_human_annotated,tr,0.91,
monolingual,command-r-base,aya_human_annotated,zh,0.87,0.99
monolingual,command-r-base,dolly_human_edited,ar,0.97,0.99
monolingual,command-r-base,dolly_human_edited,es,0.95,
monolingual,command-r-base,dolly_human_edited,fr,0.91,
monolingual,command-r-base,dolly_human_edited,hi,0.81,0.93
monolingual,command-r-base,dolly_human_edited,ru,0.94,0.99
monolingual,command-r-base,native_prompts,es,0.91,
monolingual,command-r-base,native_prompts,fr,0.87,
monolingual,command-r-base,native_prompts,ja,0.98,0.99
monolingual,command-r-base,native_prompts,ko,0.94,0.99
monolingual,command-r-base,okapi,ar,0.93,0.96
monolingual,command-r-base,okapi,de,0.84,
monolingual,command-r-base,okapi,en,0.99,
monolingual,command-r-base,okapi,es,0.83,
monolingual,command-r-base,okapi,fr,0.82,
monolingual,command-r-base,okapi,id,0.69,
monolingual,command-r-base,okapi,it,0.79,
monolingual,command-r-base,okapi,pt,0.75,
monolingual,command-r-base,okapi,vi,0.8,
monolingual,command-r-base,okapi,zh,0.56,1.0
monolingual,command-r-base,aya_human_annotated,all,0.93,0.99
monolingual,command-r-base,dolly_human_edited,all,0.91,0.97
monolingual,command-r-base,native_prompts,all,0.93,0.99
monolingual,command-r-base,okapi,all,0.8,0.98
monolingual,command-r-base,all,ar,0.95,0.98
monolingual,command-r-base,all,en,0.98,
monolingual,command-r-base,all,pt,0.84,
monolingual,command-r-base,all,tr,0.91,
monolingual,command-r-base,all,zh,0.71,0.99
monolingual,command-r-base,all,es,0.9,
monolingual,command-r-base,all,fr,0.87,
monolingual,command-r-base,all,hi,0.81,0.93
monolingual,command-r-base,all,ru,0.94,0.99
monolingual,command-r-base,all,ja,0.98,0.99
monolingual,command-r-base,all,ko,0.94,0.99
monolingual,command-r-base,all,de,0.84,
